2021-11-30 10:46:17,566 INFO Connecting to 127.0.0.1:7497 with clientId 1...
2021-11-30 10:46:17,567 INFO Connected
2021-11-30 10:46:17,570 INFO Logged on to server version 152
2021-11-30 10:46:17,603 INFO API connection ready
2021-11-30 10:46:30,644 ERROR Error 162, reqId 132: Historical Market Data Service error message:API scanner subscription cancelled: 132
2021-11-30 10:46:31,354 INFO Warning 165, reqId 133: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:31,355 ERROR Error 162, reqId 133: Historical Market Data Service error message:API scanner subscription cancelled: 133
2021-11-30 10:46:32,061 INFO Warning 165, reqId 134: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:32,062 ERROR Error 162, reqId 134: Historical Market Data Service error message:API scanner subscription cancelled: 134
2021-11-30 10:46:32,625 INFO Warning 165, reqId 135: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:32,625 ERROR Error 162, reqId 135: Historical Market Data Service error message:API scanner subscription cancelled: 135
2021-11-30 10:46:33,168 INFO Warning 165, reqId 136: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:33,169 ERROR Error 162, reqId 136: Historical Market Data Service error message:API scanner subscription cancelled: 136
2021-11-30 10:46:33,725 INFO Warning 165, reqId 137: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:33,726 ERROR Error 162, reqId 137: Historical Market Data Service error message:API scanner subscription cancelled: 137
2021-11-30 10:46:34,420 INFO Warning 165, reqId 138: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:34,421 ERROR Error 162, reqId 138: Historical Market Data Service error message:API scanner subscription cancelled: 138
2021-11-30 10:46:34,994 INFO Warning 165, reqId 139: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:34,995 ERROR Error 162, reqId 139: Historical Market Data Service error message:API scanner subscription cancelled: 139
2021-11-30 10:46:35,541 INFO Warning 165, reqId 140: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:35,542 ERROR Error 162, reqId 140: Historical Market Data Service error message:API scanner subscription cancelled: 140
2021-11-30 10:46:36,077 INFO Warning 165, reqId 141: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:36,077 ERROR Error 162, reqId 141: Historical Market Data Service error message:API scanner subscription cancelled: 141
2021-11-30 10:46:36,634 INFO Warning 165, reqId 142: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:36,635 ERROR Error 162, reqId 142: Historical Market Data Service error message:API scanner subscription cancelled: 142
2021-11-30 10:46:37,203 INFO Warning 165, reqId 143: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:37,204 ERROR Error 162, reqId 143: Historical Market Data Service error message:API scanner subscription cancelled: 143
2021-11-30 10:46:37,785 INFO Warning 165, reqId 144: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:37,786 ERROR Error 162, reqId 144: Historical Market Data Service error message:API scanner subscription cancelled: 144
2021-11-30 10:46:38,419 INFO Warning 165, reqId 145: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:38,420 ERROR Error 162, reqId 145: Historical Market Data Service error message:API scanner subscription cancelled: 145
2021-11-30 10:46:38,993 INFO Warning 165, reqId 146: Historical Market Data Service query message:no items retrieved
2021-11-30 10:46:38,994 ERROR Error 162, reqId 146: Historical Market Data Service error message:API scanner subscription cancelled: 146
2021-11-30 10:46:39,584 INFO Warning 165, reqId 147: Historical Market Data Service query message:no items retrieved
